SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
415805,0,Cash loans,F,N,N,0,180000.0,327024.0,18391.5,270000.0,Unaccompanied,Working,Higher education,Single / not married,Municipal apartment,0.04622,-23219,-2024,-9358.0,-4140,,1,1,0,1,1,0,Core staff,1.0,1,1,MONDAY,13,0,0,0,0,0,0,Kindergarten,,0.5419380787926289,0.6296742509538716,0.10099999999999999,0.0959,0.9886,,,0.064,0.1241,0.2417,,0.0179,,0.0999,,0.0022,0.0599,0.087,0.9871,,,0.0,0.1034,0.1667,,0.0094,,0.0681,,0.0,0.0822,0.0839,0.9871,,,0.0,0.1034,0.1667,,0.0154,,0.0914,,0.0,,block of flats,0.2096,Panel,No,0.0,0.0,0.0,0.0,-184.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
162609,0,Cash loans,F,N,Y,0,67500.0,526491.0,17527.5,454500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.009334,-18942,365243,-8141.0,-2447,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,12,0,0,0,0,0,0,XNA,,0.5222483812753963,0.13259749523614614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
408450,0,Cash loans,M,N,Y,0,225000.0,167121.0,10228.5,139500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.007120000000000001,-14601,-611,-8628.0,-4947,,1,1,0,1,0,0,High skill tech staff,2.0,2,2,MONDAY,9,0,0,0,0,0,0,Other,0.4921053720143893,0.5719196010324222,0.20208660168203949,0.1505,0.0838,0.9821,0.7552,0.061,0.16,0.1379,0.3333,0.375,0.0859,0.1227,0.1489,0.0,0.0,0.1534,0.0869,0.9821,0.7648,0.0615,0.1611,0.1379,0.3333,0.375,0.0878,0.1341,0.1551,0.0,0.0,0.152,0.0838,0.9821,0.7585,0.0614,0.16,0.1379,0.3333,0.375,0.0874,0.1248,0.1516,0.0,0.0,reg oper account,block of flats,0.1504,Panel,No,2.0,1.0,2.0,1.0,-319.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
311194,0,Cash loans,M,Y,N,1,225000.0,675000.0,21775.5,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018209,-15414,-6034,-1801.0,-4227,20.0,1,1,0,1,1,0,Laborers,3.0,3,3,SATURDAY,9,0,0,0,0,0,0,Security Ministries,,0.6006742554341897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1172.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
398370,0,Cash loans,M,Y,N,1,157500.0,1406362.5,46606.5,1260000.0,"Spouse, partner",Working,Secondary / secondary special,Married,Municipal apartment,0.006233,-18377,-432,-3332.0,-1913,7.0,1,1,0,1,0,0,Drivers,3.0,2,2,FRIDAY,11,0,0,0,0,0,0,Medicine,,0.5614491922907601,0.5100895276257282,0.3897,0.1885,0.9841,0.7824,0.0441,0.0,0.1379,0.1667,0.2083,0.1195,0.3177,0.1101,0.0,0.0,0.3971,0.1956,0.9841,0.7909,0.0445,0.0,0.1379,0.1667,0.2083,0.1223,0.3471,0.1147,0.0,0.0,0.3935,0.1885,0.9841,0.7853,0.0444,0.0,0.1379,0.1667,0.2083,0.1216,0.3232,0.1121,0.0,0.0,reg oper account,block of flats,0.1411,Panel,No,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
129236,0,Revolving loans,F,N,N,0,135000.0,157500.0,7875.0,157500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.028663,-23102,365243,-10955.0,-4503,,1,0,0,1,0,0,,1.0,2,2,THURSDAY,15,0,0,0,0,0,0,XNA,,0.6200587613270943,0.3046721837533529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1532.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
260004,0,Cash loans,F,N,Y,0,90000.0,219042.0,24844.5,193500.0,Family,Working,Secondary / secondary special,Single / not married,House / apartment,0.018634,-15724,-856,-7064.0,-1966,,1,1,0,1,0,0,,1.0,2,2,WEDNESDAY,16,0,0,0,1,1,1,Other,,0.5404611804635304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,0.0,-732.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
235196,0,Revolving loans,M,N,Y,0,225000.0,900000.0,45000.0,900000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.019101,-20566,365243,-5851.0,-4102,,1,0,0,1,0,0,,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,XNA,0.5906657948902524,0.7389780880022413,0.6363761710860439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
190090,0,Cash loans,M,N,Y,0,450000.0,1084261.5,39073.5,936000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.030755,-14074,-1207,-6725.0,-4609,,1,1,0,1,0,0,Laborers,2.0,2,2,SUNDAY,15,0,0,0,0,0,0,Self-employed,0.25278233265345834,0.5631337704592044,,0.0052,0.0,0.9389,,,0.0,0.0345,0.0417,,0.0,,0.0039,,0.0,0.0053,0.0,0.9389,,,0.0,0.0345,0.0417,,0.0,,0.004,,0.0,0.0052,0.0,0.9389,,,0.0,0.0345,0.0417,,0.0,,0.0039,,0.0,,block of flats,0.003,"Stone, brick",No,0.0,0.0,0.0,0.0,-2101.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0
222280,0,Cash loans,M,Y,Y,2,135000.0,119925.0,12852.0,112500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.009549,-13023,-1534,-3158.0,-3807,21.0,1,1,0,1,0,0,High skill tech staff,4.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.4634680373554154,0.6961357961225102,0.3723336657058204,,,0.9767,0.6804,0.1597,0.0,0.2069,0.1667,0.0417,,0.0807,0.0767,0.0154,0.124,,,0.9767,0.6929,0.1612,0.0,0.2069,0.1667,0.0417,,0.0882,0.0799,0.0156,0.1313,,,0.9767,0.6847,0.1607,0.0,0.2069,0.1667,0.0417,,0.0821,0.0781,0.0155,0.1266,reg oper spec account,,0.0873,,No,0.0,0.0,0.0,0.0,-1106.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
375911,0,Revolving loans,F,N,Y,1,90000.0,225000.0,11250.0,225000.0,Family,Working,Secondary / secondary special,Separated,House / apartment,0.005144,-14724,-8028,-5836.0,-4574,,1,1,1,1,0,0,Laborers,2.0,2,2,MONDAY,11,0,0,0,0,0,0,Other,,0.5678137498385795,0.7583930617144343,0.1186,0.0621,0.9707,0.5988,0.0269,0.0,0.069,0.125,0.1667,0.0489,0.0967,0.0356,0.0,0.0,0.1208,0.0644,0.9707,0.6145,0.0271,0.0,0.069,0.125,0.1667,0.05,0.1056,0.0371,0.0,0.0,0.1197,0.0621,0.9707,0.6042,0.027000000000000003,0.0,0.069,0.125,0.1667,0.0497,0.0983,0.0363,0.0,0.0,reg oper account,specific housing,0.0427,"Stone, brick",No,2.0,0.0,2.0,0.0,-1802.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
248365,0,Cash loans,M,Y,Y,0,225000.0,398160.0,25573.5,315000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.072508,-11189,-2776,-5637.0,-2193,9.0,1,1,1,1,1,1,Drivers,2.0,1,1,WEDNESDAY,20,0,0,0,0,0,0,Business Entity Type 3,0.4500018268003859,0.4529187343576594,0.4686596550493113,0.3716,0.171,0.9851,0.7959999999999999,0.1362,0.56,0.2414,0.5417,0.3125,0.0,0.3009,0.4232,0.0097,0.0111,0.3214,0.1692,0.9851,0.804,0.1167,0.4834,0.2069,0.5417,0.0417,0.0,0.2792,0.376,0.0078,0.006,0.3752,0.171,0.9851,0.7987,0.1371,0.56,0.2414,0.5417,0.3125,0.0,0.3061,0.4308,0.0097,0.0113,reg oper account,block of flats,0.285,Panel,No,4.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
172235,0,Cash loans,F,N,Y,0,270000.0,543037.5,34834.5,463500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612000000000002,-11160,-2023,-4754.0,-3561,,1,1,0,1,0,0,Sales staff,2.0,2,2,TUESDAY,14,0,0,0,0,0,0,Self-employed,0.33539103291371736,0.4983454202088909,0.5262949398096192,0.133,0.1495,0.9712,0.6056,0.0579,0.0,0.2759,0.1667,0.2083,0.08199999999999999,0.1084,0.1206,0.0,0.0,0.1355,0.1552,0.9712,0.621,0.0585,0.0,0.2759,0.1667,0.2083,0.0839,0.1185,0.1256,0.0,0.0,0.1343,0.1495,0.9712,0.6109,0.0583,0.0,0.2759,0.1667,0.2083,0.0834,0.1103,0.1227,0.0,0.0,reg oper account,block of flats,0.1265,"Stone, brick",No,0.0,0.0,0.0,0.0,-829.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0
424084,0,Cash loans,F,N,Y,0,157500.0,307152.0,19759.5,243000.0,Family,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.025164,-19240,-1691,-10569.0,-2773,,1,1,0,1,0,0,Core staff,1.0,2,2,THURSDAY,10,0,0,0,0,0,0,Services,0.7833645766963296,0.16231992081319174,0.7165702448010511,0.2227,0.1789,0.9856,0.8028,0.0686,0.24,0.2069,0.3333,0.375,0.1722,0.1816,0.2403,0.0,0.0,0.2269,0.1857,0.9856,0.8105,0.0692,0.2417,0.2069,0.3333,0.375,0.1761,0.1983,0.2504,0.0,0.0,0.2248,0.1789,0.9856,0.8054,0.069,0.24,0.2069,0.3333,0.375,0.1752,0.1847,0.2446,0.0,0.0,reg oper account,block of flats,0.2265,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,9.0
133563,0,Cash loans,F,N,Y,0,81000.0,270000.0,12024.0,270000.0,Unaccompanied,Pensioner,Incomplete higher,Widow,House / apartment,0.019689,-19944,365243,-164.0,-3436,,1,0,0,1,1,0,,1.0,2,2,TUESDAY,10,0,0,0,0,0,0,XNA,,0.5630961119560244,0.3360615207658242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1110.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
356997,0,Cash loans,F,N,Y,0,139500.0,495000.0,26370.0,495000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.00823,-21994,-2544,-10742.0,-4417,,1,1,1,1,0,0,Medicine staff,2.0,2,2,TUESDAY,15,0,0,0,0,0,0,Other,0.8124486564130428,0.7775726837371615,0.6610235391308081,0.133,0.15,0.9796,0.7212,0.062,0.0,0.2759,0.1667,0.2083,0.0961,0.1084,0.1176,0.0,0.0034,0.1355,0.1557,0.9796,0.7321,0.0626,0.0,0.2759,0.1667,0.2083,0.0983,0.1185,0.1225,0.0,0.0036,0.1343,0.15,0.9796,0.7249,0.0624,0.0,0.2759,0.1667,0.2083,0.0977,0.1103,0.1197,0.0,0.0035,reg oper account,block of flats,0.1271,"Stone, brick",No,2.0,0.0,2.0,0.0,-384.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
